Trip Name,Start Date,End Date,Ship,Booking URL,Category Name,Deck,Occupancy,Cabin Type,Price,Status,Available Cabins
"Columbia and Snake Rivers: Food, Wine and History",2025 Mar 24,2025 Mar 29,NG Sea Lion,/book/cabins?departure=SLLEWI5-250324&productType=LEWI5,Category 02,Upper Deck | Bridge Deck,2 Person(s),Double cabin,"$5,225",Available,4
"Columbia and Snake Rivers: Food, Wine and History",2025 Mar 24,2025 Mar 29,NG Sea Lion,/book/cabins?departure=SLLEWI5-250324&productType=LEWI5,Category 03,Upper Deck | Bridge Deck,2 Person(s),Double cabin,"$6,020",Available,4
